x,t
0.000000000000000000e+00,-1.257892488254611862e+00
6.289474781961547356e-03,-1.251603013522746943e+00
1.257894956392309471e-02,-1.245313538792808705e+00
1.886842434588464207e-02,-1.239024064064871311e+00
2.515789912784618942e-02,-1.232734589339011366e+00
3.144737390980773678e-02,-1.226445114615309251e+00
3.773684869176928414e-02,-1.220155639893847344e+00
4.402632347373083149e-02,-1.213866165174712242e+00
5.031579825569237885e-02,-1.207576690457993429e+00
5.660527303765392620e-02,-1.201287215743783721e+00
6.289474781961547356e-02,-1.194997741032179484e+00
6.918422260157702786e-02,-1.188708266323281082e+00
7.547369738353856827e-02,-1.182418791617192433e+00
8.176317216550010869e-02,-1.176129316914021894e+00
8.805264694746166299e-02,-1.169839842213881376e+00
9.434212172942321728e-02,-1.163550367516887452e+00
1.006315965113847577e-01,-1.157260892823161358e+00
1.069210712933462981e-01,-1.150971418132828550e+00
1.132105460753078524e-01,-1.144681943446019590e+00
1.195000208572694067e-01,-1.138392468762869925e+00
1.257894956392309471e-01,-1.132102994083520553e+00
1.320789704211924875e-01,-1.125813519408117358e+00
1.383684452031540557e-01,-1.119524044736811996e+00
1.446579199851155961e-01,-1.113234570069762341e+00
1.509473947670771365e-01,-1.106945095407132040e+00
1.572368695490386770e-01,-1.100655620749090957e+00
1.635263443310002174e-01,-1.094366146095815617e+00
1.698158191129617856e-01,-1.088076671447489208e+00
1.761052938949233260e-01,-1.081787196804302242e+00
1.823947686768848664e-01,-1.075497722166452119e+00
1.886842434588464346e-01,-1.069208247534144229e+00
1.949737182408079750e-01,-1.062918772907591736e+00
2.012631930227695154e-01,-1.056629298287016017e+00
2.075526678047310558e-01,-1.050339823672646888e+00
2.138421425866925962e-01,-1.044050349064722827e+00
2.201316173686541644e-01,-1.037760874463492078e+00
2.264210921506157048e-01,-1.031471399869211769e+00
2.327105669325772452e-01,-1.025181925282149464e+00
2.390000417145388134e-01,-1.018892450702582275e+00
2.452895164965003538e-01,-1.012602976130799082e+00
2.515789912784618942e-01,-1.006313501567098534e+00
2.578684660604234624e-01,-1.000024027011792160e+00
2.641579408423849751e-01,-9.937345524652023698e-01
2.704474156243465433e-01,-9.874450779276644496e-01
2.767368904063081114e-01,-9.811556033995265658e-01
2.830263651882696241e-01,-9.748661288811503178e-01
2.893158399702311923e-01,-9.685766543729108502e-01
2.956053147521927049e-01,-9.622871798751982952e-01
3.018947895341542731e-01,-9.559977053884173293e-01
3.081842643161158413e-01,-9.497082309129883937e-01
3.144737390980773539e-01,-9.434187564493480282e-01
3.207632138800389221e-01,-9.371292819979496480e-01
3.270526886620004348e-01,-9.308398075592640986e-01
3.333421634439620029e-01,-9.245503331337801001e-01
3.396316382259235711e-01,-9.182608587220055796e-01
3.459211130078850838e-01,-9.119713843244676710e-01
3.522105877898466519e-01,-9.056819099417139363e-01
3.585000625718082201e-01,-8.993924355743128096e-01
3.647895373537697328e-01,-8.931029612228549297e-01
3.710790121357313009e-01,-8.868134868879531396e-01
3.773684869176928691e-01,-8.805240125702444853e-01
3.836579616996543818e-01,-8.742345382703899936e-01
3.899474364816159500e-01,-8.679450639890764485e-01
3.962369112635774626e-01,-8.616555897270166131e-01
4.025263860455390308e-01,-8.553661154849512283e-01
4.088158608275005990e-01,-8.490766412636490124e-01
4.151053356094621116e-01,-8.427871670639086599e-01
4.213948103914236798e-01,-8.364976928865592853e-01
4.276842851733851925e-01,-8.302082187324621998e-01
4.339737599553467606e-01,-8.239187446025113548e-01
4.402632347373083288e-01,-8.176292704976354520e-01
4.465527095192698415e-01,-8.113397964187989420e-01
4.528421843012314096e-01,-8.050503223670030239e-01
4.591316590831929778e-01,-7.987608483432877549e-01
4.654211338651544905e-01,-7.924713743487332707e-01
4.717106086471160586e-01,-7.861819003844605636e-01
4.780000834290776268e-01,-7.798924264516347016e-01
4.842895582110391395e-01,-7.736029525514647176e-01
4.905790329930007077e-01,-7.673134786852064959e-01
4.968685077749622203e-01,-7.610240048541645486e-01
5.031579825569237885e-01,-7.547345310596927925e-01
5.094474573388853011e-01,-7.484450573031978804e-01
5.157369321208469248e-01,-7.421555835861403105e-01
5.220264069028084375e-01,-7.358661099100367586e-01
5.283158816847699502e-01,-7.295766362764621871e-01
5.346053564667315738e-01,-7.232871626870521764e-01
5.408948312486930865e-01,-7.169976891435051458e-01
5.471843060306545992e-01,-7.107082156475850176e-01
5.534737808126162228e-01,-7.044187422011233268e-01
5.597632555945777355e-01,-6.981292688060221074e-01
5.660527303765392482e-01,-6.918397954642566683e-01
5.723422051585007608e-01,-6.855503221778781464e-01
5.786316799404623845e-01,-6.792608489490166157e-01
5.849211547224238972e-01,-6.729713757798840845e-01
5.912106295043854098e-01,-6.666819026727776043e-01
5.975001042863470335e-01,-6.603924296300824892e-01
6.037895790683085462e-01,-6.541029566542759799e-01
6.100790538502700588e-01,-6.478134837479303521e-01
6.163685286322316825e-01,-6.415240109137170244e-01
6.226580034141931952e-01,-6.352345381544100000e-01
6.289474781961547079e-01,-6.289450654728899748e-01
6.352369529781163315e-01,-6.226555928721485555e-01
6.415264277600778442e-01,-6.163661203552922574e-01
6.478159025420393569e-01,-6.100766479255471664e-01
6.541053773240008695e-01,-6.037871755862633805e-01
6.603948521059624932e-01,-5.974977033409198945e-01
6.666843268879240059e-01,-5.912082311931293743e-01
6.729738016698855185e-01,-5.849187591466434855e-01
6.792632764518471422e-01,-5.786292872053582226e-01
6.855527512338086549e-01,-5.723398153733194604e-01
6.918422260157701675e-01,-5.660503436547285050e-01
6.981317007977317912e-01,-5.597608720539483107e-01
7.044211755796933039e-01,-5.534714005755095867e-01
7.107106503616548165e-01,-5.471819292241173471e-01
7.170001251436164402e-01,-5.408924580046575725e-01
7.232895999255779529e-01,-5.346029869222040931e-01
7.295790747075394655e-01,-5.283135159820258053e-01
7.358685494895010892e-01,-5.220240451895944434e-01
7.421580242714626019e-01,-5.157345745505919066e-01
7.484474990534241146e-01,-5.094451040709188083e-01
7.547369738353857382e-01,-5.031556337567025805e-01
7.610264486173472509e-01,-4.968661636143063554e-01
7.673159233993087636e-01,-4.905766936503378473e-01
7.736053981812702762e-01,-4.842872238716591227e-01
7.798948729632318999e-01,-4.779977542853960371e-01
7.861843477451934126e-01,-4.717082848989483379e-01
7.924738225271549252e-01,-4.654188157200006559e-01
7.987632973091165489e-01,-4.591293467565328301e-01
8.050527720910780616e-01,-4.528398780168317872e-01
8.113422468730395742e-01,-4.465504095095031989e-01
8.176317216550011979e-01,-4.402609412434834724e-01
8.239211964369627106e-01,-4.339714732280528509e-01
8.302106712189242232e-01,-4.276820054728484033e-01
8.365001460008858469e-01,-4.213925379878779021e-01
8.427896207828473596e-01,-4.151030707835339228e-01
8.490790955648088723e-01,-4.088136038706087216e-01
8.553685703467703849e-01,-4.025241372603096668e-01
8.616580451287320086e-01,-3.962346709642750042e-01
8.679475199106935213e-01,-3.899452049945906218e-01
8.742369946926550339e-01,-3.836557393638072577e-01
8.805264694746166576e-01,-3.773662740849582642e-01
8.868159442565781703e-01,-3.710768091715781480e-01
8.931054190385396829e-01,-3.647873446377221107e-01
8.993948938205013066e-01,-3.584978804979856992e-01
9.056843686024628193e-01,-3.522084167675259003e-01
9.119738433844243319e-01,-3.459189534620824569e-01
9.182633181663859556e-01,-3.396294905980006273e-01
9.245527929483474683e-01,-3.333400281922540564e-01
9.308422677303089809e-01,-3.270505662624692000e-01
9.371317425122706046e-01,-3.207611048269505272e-01
9.434212172942321173e-01,-3.144716439047062773e-01
9.497106920761936300e-01,-3.081821835154757716e-01
9.560001668581552536e-01,-3.018927236797573910e-01
9.622896416401167663e-01,-2.956032644188378855e-01
9.685791164220782790e-01,-2.893138057548226838e-01
9.748685912040397916e-01,-2.830243477106672012e-01
9.811580659860014153e-01,-2.767348903102098134e-01
9.874475407679629280e-01,-2.704454335782054963e-01
9.937370155499244406e-01,-2.641559775403612420e-01
1.000026490331886064e+00,-2.578665222233729182e-01
1.006315965113847577e+00,-2.515770676549624607e-01
1.012605439895809090e+00,-2.452876138639186188e-01
1.018894914677770602e+00,-2.389981608801368118e-01
1.025184389459732115e+00,-2.327087087346622063e-01
1.031473864241693850e+00,-2.264192574597339025e-01
1.037763339023655362e+00,-2.201298070888308978e-01
1.044052813805616875e+00,-2.138403576567196041e-01
1.050342288587578388e+00,-2.075509091995035860e-01
1.056631763369539900e+00,-2.012614617546746310e-01
1.062921238151501413e+00,-1.949720153611662621e-01
1.069210712933463148e+00,-1.886825700594094712e-01
