x,t
0.000000000000000000e+00,-6.770805197656770247e+00
6.289474781961547356e-03,-6.777095293229811190e+00
1.257894956392309471e-02,-6.783385412677597870e+00
1.886842434588464207e-02,-6.789675556918333577e+00
2.515789912784618942e-02,-6.795965726905540016e+00
3.144737390980773678e-02,-6.802255923629409118e+00
3.773684869176928414e-02,-6.808546148118218788e+00
4.402632347373083149e-02,-6.814836401439793079e+00
5.031579825569237885e-02,-6.821126684703027188e+00
5.660527303765392620e-02,-6.827416999059465752e+00
6.289474781961547356e-02,-6.833707345704943315e+00
6.918422260157702786e-02,-6.839997725881286961e+00
7.547369738353856827e-02,-6.846288140878089123e+00
8.176317216550010869e-02,-6.852578592034538119e+00
8.805264694746166299e-02,-6.858869080741334834e+00
9.434212172942321728e-02,-6.865159608442664485e+00
1.006315965113847577e-01,-6.871450176638262519e+00
1.069210712933462981e-01,-6.877740786885547131e+00
1.132105460753078524e-01,-6.884031440801836155e+00
1.195000208572694067e-01,-6.890322140066658108e+00
1.257894956392309471e-01,-6.896612886424136946e+00
1.320789704211924875e-01,-6.902903681685484294e+00
1.383684452031540557e-01,-6.909194527731575164e+00
1.446579199851155961e-01,-6.915485426515630252e+00
1.509473947670771365e-01,-6.921776380065998602e+00
1.572368695490386770e-01,-6.928067390489046851e+00
1.635263443310002174e-01,-6.934358459972162159e+00
1.698158191129617856e-01,-6.940649590786867051e+00
1.761052938949233260e-01,-6.946940785292059495e+00
1.823947686768848664e-01,-6.953232045937371097e+00
1.886842434588464346e-01,-6.959523375266657652e+00
1.949737182408079750e-01,-6.965814775921628232e+00
2.012631930227695154e-01,-6.972106250645605741e+00
2.075526678047310558e-01,-6.978397802287439333e+00
2.138421425866925962e-01,-6.984689433805559844e+00
2.201316173686541644e-01,-6.990981148272203960e+00
2.264210921506157048e-01,-6.997272948877784948e+00
2.327105669325772452e-01,-7.003564838935443682e+00
2.390000417145388134e-01,-7.009856821885771083e+00
2.452895164965003538e-01,-7.016148901301710872e+00
2.515789912784618942e-01,-7.022441080893650600e+00
2.578684660604234624e-01,-7.028733364514716975e+00
2.641579408423849751e-01,-7.035025756166260358e+00
2.704474156243465433e-01,-7.041318260003563090e+00
2.767368904063081114e-01,-7.047610880341764528e+00
2.830263651882696241e-01,-7.053903621662008128e+00
2.893158399702311923e-01,-7.060196488617832777e+00
2.956053147521927049e-01,-7.066489486041809265e+00
3.018947895341542731e-01,-7.072782618952426326e+00
3.081842643161158413e-01,-7.079075892561250249e+00
3.144737390980773539e-01,-7.085369312280350940e+00
3.207632138800389221e-01,-7.091662883730025513e+00
3.270526886620004348e-01,-7.097956612746809668e+00
3.333421634439620029e-01,-7.104250505391799031e+00
3.396316382259235711e-01,-7.110544567959297346e+00
3.459211130078850838e-01,-7.116838806985793298e+00
3.522105877898466519e-01,-7.123133229259279275e+00
3.585000625718082201e-01,-7.129427841828938739e+00
3.647895373537697328e-01,-7.135722652015201284e+00
