x,t
0.000000000000000000e+00,-2.497588568908764906e+00
6.289474781961547356e-03,-2.491299714795315534e+00
1.257894956392309471e-02,-2.485010884547003140e+00
1.886842434588464207e-02,-2.478722079081280061e+00
2.515789912784618942e-02,-2.472433299350853986e+00
3.144737390980773678e-02,-2.466144546345041988e+00
3.773684869176928414e-02,-2.459855821091176509e+00
4.402632347373083149e-02,-2.453567124656064635e+00
5.031579825569237885e-02,-2.447278458147502445e+00
5.660527303765392620e-02,-2.440989822715850632e+00
6.289474781961547356e-02,-2.434701219555666096e+00
6.918422260157702786e-02,-2.428412649907399246e+00
7.547369738353856827e-02,-2.422124115059156146e+00
8.176317216550010869e-02,-2.415835616348525061e+00
8.805264694746166299e-02,-2.409547155164478038e+00
9.434212172942321728e-02,-2.403258732949340004e+00
1.006315965113847577e-01,-2.396970351200836014e+00
1.069210712933462981e-01,-2.390682011474218438e+00
1.132105460753078524e-01,-2.384393715384471424e+00
1.195000208572694067e-01,-2.378105464608602393e+00
1.257894956392309471e-01,-2.371817260888021472e+00
1.320789704211924875e-01,-2.365529106031010187e+00
1.383684452031540557e-01,-2.359241001915286073e+00
1.446579199851155961e-01,-2.352952950490663220e+00
1.509473947670771365e-01,-2.346664953781818053e+00
1.572368695490386770e-01,-2.340377013891156821e+00
1.635263443310002174e-01,-2.334089133001795879e+00
1.698158191129617856e-01,-2.327801313380652992e+00
1.761052938949233260e-01,-2.321513557381658543e+00
1.823947686768848664e-01,-2.315225867449088426e+00
1.886842434588464346e-01,-2.308938246121025273e+00
1.949737182408079750e-01,-2.302650696032948918e+00
2.012631930227695154e-01,-2.296363219921467635e+00
2.075526678047310558e-01,-2.290075820628187486e+00
2.138421425866925962e-01,-2.283788501103732660e+00
2.201316173686541644e-01,-2.277501264411916804e+00
2.264210921506157048e-01,-2.271214113734073781e+00
2.327105669325772452e-01,-2.264927052373552296e+00
2.390000417145388134e-01,-2.258640083760384609e+00
2.452895164965003538e-01,-2.252353211456127546e+00
2.515789912784618942e-01,-2.246066439158892702e+00
2.578684660604234624e-01,-2.239779770708564488e+00
2.641579408423849751e-01,-2.233493210092218462e+00
2.704474156243465433e-01,-2.227206761449741723e+00
2.767368904063081114e-01,-2.220920429079671798e+00
2.830263651882696241e-01,-2.214634217445251796e+00
2.893158399702311923e-01,-2.208348131180718710e+00
2.956053147521927049e-01,-2.202062175097827534e+00
3.018947895341542731e-01,-2.195776354192623181e+00
3.081842643161158413e-01,-2.189490673652469077e+00
3.144737390980773539e-01,-2.183205138863338668e+00
3.207632138800389221e-01,-2.176919755417388469e+00
3.270526886620004348e-01,-2.170634529120808232e+00
3.333421634439620029e-01,-2.164349466001976197e+00
3.396316382259235711e-01,-2.158064572319914109e+00
3.459211130078850838e-01,-2.151779854573065531e+00
3.522105877898466519e-01,-2.145495319508403220e+00
3.585000625718082201e-01,-2.139210974130878018e+00
3.647895373537697328e-01,-2.132926825713222563e+00
3.710790121357313009e-01,-2.126642881806124485e+00
3.773684869176928691e-01,-2.120359150248780633e+00
